Región,Comuna,Ubicación,Nombre,Horario,¿Qué recibe?,Info adicional,Mapa
Valparaíso,,Plaza Victoria,,Sabado 3 de 15-19hrs,"Utiles de aseo para mujeres y niñas, mascarillas e insumos medicos, barritas de cereal, jugos, colaciones",@coordinadora8m.valpo,https://maps.app.goo.gl/XQwVHW7qkKoMfKYq6
Valparaíso,,"Blanco 1623, dpto 1503",,,"Alimentos no perecibles, agua, articulos de aseo, ropa en buenas condiciones",@solidaridadactivachile,https://maps.app.goo.gl/QrKh5sG7nhyn2W5cA
Valparaíso,Reñaca,Av. Borgoño 15280,Delegación de Reñaca,,"Agua, formula para bebés, kit de aseo(toallas higienicas, cepillo y pasta dental), alimentos no perecibles, alimentos para mascotas",,https://maps.app.goo.gl/cJJgQ3jzco8HBsvRA
Valparaíso,,"Parcela 4, Los Pinos",Colegio Sagrada Familia de Reñaca,Sabado 3 desde las 12hrs,"Agua, bebidas isotonicas, barras de creal, galletas, frazadas, kit de aseo",,https://maps.app.goo.gl/AwNtyoZQwjRd2Ga87
Valparaíso,Villa Alemana,Santiago 779,Cruz Roja Villa Alemana,,"Agua embotellada, alimentos no perecibles, utiles de aseo, ropa interior NUEVA, pañales bebé y adulto, alimento de mascotas, barras de cereal",,https://maps.app.goo.gl/T7XozUmatZD6QC8K9
Valparaíso,San Antonio,Plaza de Llolleo,,Sabado 3 desde las 15:00,"Agua embotellada, kit de higiene personal, ropa de abrigo, alimentos no perecibles",,https://maps.app.goo.gl/J5dRxxekuFzqxdGV9
Valparaíso,,"1. El Molo con La Marina
2. Carnaval Cultural Murgas y Comparsas","1. Centro de la Juventud de la Muni San Antonio
2. Stand Oficina de la Niñez",Domingo 4 desde las 12:00,"Agua embotellada, kit de higiene personal, ropa de abrigo, alimentos no perecibles",,https://maps.app.goo.gl/MupZVCdLGuVx3HtY9
Valparaíso,Placilla,Av. El Tranque 571,Costado de Museo de Placilla,No especifica,"Agua, Jugos, Bebidas Isotónicas, Barras de cereal, Pan, Pañales, Toallas Húmedas, Confort, Bloqueador, Guantes, Palas, Azadon, Mascarillas, Comida Para Animales. NO ROPA",,https://maps.app.goo.gl/iPGx6gZGQ3JJuynh6
Valparaíso,Algarrobo,Av. Peñablanca 250,Municipalidad de Algarrobo,"Sábado 03, Domingo 04, Lunes 05 de 10 a 18 hrs.","Agua, bebidas isotónicas, barras de cereal energéticas, leches de fórmula (bebé), pañales de bebé y adultos, kit de aseo (toallas higiénicas, cepillos/pasta de dientes, etc), alimentos no perecibles, alimentos para mascotas, elementos de protección (bloqueador, guantes, lentes de protección), herramientas para remover escombros.",,https://maps.app.goo.gl/ddnHhMKhVmo2xBQ6A
Valparaíso,Quillota,Yungay 599,Oficina de Gestión de Riesgo y Desastres,Sábado hasta las 20 hrs. Domingo desde 9 hasta 20 hrs.,"Agua embotellada, para bombero preferentemente de litro o 1/2 individual, bebidas isotónicas, barras de cereal o proteína, alimento para mascotas.",,https://maps.app.goo.gl/9QrzExw4hTwu9g8E6
